wl,EX,EM
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,1.231775445,0
451,1.169314017,0
452,1.13643073,0
453,1.190061048,0
454,1.214192891,0
455,1.23838158,0
456,1.257602436,0
457,1.29732664,0
458,1.344910247,0
459,1.443543785,0
460,1.488551319,0
461,1.533517308,0
462,1.597905245,0
463,1.690027406,0
464,1.783289937,0
465,1.853498202,0
466,1.90569481,0
467,2.049324545,0
468,2.144392334,0
469,2.280557395,0
470,2.329217399,0
471,2.430492078,0
472,2.64248535,0
473,2.748755786,0
474,2.898675747,0
475,2.989910907,0
476,3.164410494,0
477,3.377469866,0
478,3.560481908,0
479,3.733544631,0
480,3.888488461,0
481,4.155301751,0
482,4.347113109,0
483,4.467073199,0
484,4.658268002,0
485,4.92620385,0
486,5.236721464,0
487,5.571329236,0
488,5.999289594,0
489,6.235597331,0
490,6.564903285,0
491,6.774296783,0
492,7.210294106,0
493,7.684084329,0
494,8.048793633,0
495,8.479259086,0
496,8.701888035,0
497,9.157599813,0
498,9.716962541,0
499,10.05688435,0
500,10.35139356,0
501,10.74920773,0
502,11.17948071,0
503,11.64605364,0
504,11.82884514,0
505,12.37553402,0
506,12.7794111,0
507,13.10954021,0
508,13.57042273,0
509,13.7822271,0
510,14.34960647,0
511,14.89624962,0
512,15.3640678,0
513,15.75372304,0
514,16.31899539,0
515,16.87849304,0
516,17.74571729,0
517,18.29646832,0
518,19.10733367,0
519,19.86350028,0
520,20.73431109,0
521,21.61485195,0
522,22.57042075,0
523,23.60829359,0
524,24.6965649,0
525,25.48471043,0
526,26.82161722,0
527,27.84280347,0
528,29.19441103,0
529,30.19022427,0
530,31.28363225,0
531,32.36442541,0
532,33.55399475,0
533,34.44111883,0
534,35.49217649,0
535,36.7011979,0
536,37.42904068,0
