"wl" "X.T"
300 0
301 0
302 0
303 0
304 0
305 0
306 0
307 0
308 0
309 0
310 0
311 0
312 0
313 0
314 0
315 0
316 0
317 0
318 0
319 0
320 0
321 0
322 0
323 0
324 0
325 0
326 0
327 0
328 0
329 0
330 0
331 0
332 0
333 0
334 0
335 0
336 0
337 0
338 0
339 0
340 0
341 0
342 0
343 0
344 0
345 0
346 0
347 0
348 0
349 0
350 0
351 0
352 0
353 0
354 0
355 0
356 0
357 0
358 0
359 0
360 0
361 0
362 0
363 0
364 0
365 0
366 0
367 0
368 0
369 0
370 0
371 0
372 0
373 0
374 0
375 0
376 0
377 0
378 0
379 0
380 0
381 0
382 0
383 0
384 0
385 0
386 0
387 0
388 0
389 0
390 0
391 0
392 0
393 0
394 0
395 0
396 0
397 0
398 0
399 0
400 0
401 0
402 0
403 0
404 0
405 0
406 0
407 0
408 0
409 0
410 0
411 0
412 0
413 0
414 0
415 0
416 0
417 0
418 0
419 0
420 0
421 0
422 0
423 0
424 0
425 0
426 0
427 0
428 0
429 0
430 0
431 0
432 0
433 0
434 0
435 0
436 0
437 0
438 0
439 0
440 0
441 0
442 0
443 0
444 0
445 0
446 0
447 0
448 0
449 0
450 0
451 0
452 0
453 0
454 0
455 0
456 0
457 0
458 0
459 0
460 0
461 0
462 0
463 0
464 0
465 0
466 0
467 0
468 0
469 0
470 0
471 0
472 0
473 0
474 0
475 0
476 0
477 0
478 0
479 0
480 0
481 0
482 0
483 0
484 0
485 0
486 0
487 0
488 0
489 0
490 0
491 0
492 0
493 0
494 0
495 0
496 0
497 0
498 0
499 0
500 0
501 0
502 0
503 0
504 0
505 0
506 0
507 0
508 0
509 0
510 0
511 0
512 0
513 0
514 0
515 0
516 0
517 0
518 0
519 0
520 0
521 0
522 0
523 0
524 0
525 0
526 0
527 0
528 0
529 0
530 0
531 0
532 0
533 0
534 0
535 0
536 0
537 0
538 0
539 0
540 0
541 0
542 0
543 0
544 0
545 0
546 0
547 0
548 0
549 0
550 0
551 0
552 0
553 0
554 0
555 0
556 0
557 0
558 0
559 0
560 3.833259959
561 4.011412536
562 4.323651009
563 4.771497764
564 5.321000435
565 5.913349978
566 6.389394822
567 7.080996815
568 7.626821333
569 8.434414975
570 9.155260121
571 10.00925247
572 10.96337568
573 11.97274048
574 13.10774082
575 14.19437749
576 15.40263871
577 16.71579886
578 18.05872631
579 19.47647355
580 21.20928749
581 23.19809796
582 25.30631307
583 27.57335173
584 29.84876837
585 32.12738827
586 34.5932723
587 37.46895182
588 40.2382133
589 43.33623507
590 46.39125208
591 49.5868306
592 52.80645529
593 56.19545633
594 59.79042609
595 63.24403593
596 66.95202147
597 70.4170329
598 73.91967378
599 77.05991848
600 80.14659438
601 82.8065093
602 85.77617498
603 88.16138464
604 90.56791117
605 92.73087104
606 95.27080134
607 97.07889962
608 98.08562781
609 98.83766224
610 99.10532833
611 99.4617725
612 99.9378879
613 99.92980359
614 100
615 99.45057243
616 98.34123805
617 97.06779301
618 95.86729261
619 94.79168114
620 93.43747541
621 91.47835332
622 89.5449452
623 88.36619958
624 85.86413134
625 83.87741282
626 81.96000893
627 80.54340531
628 78.04045194
629 75.91822159
630 74.07529149
631 72.46185799
632 70.05186088
633 67.75605732
634 65.8991777
635 64.0312665
636 61.80675242
637 60.63221412
638 58.89790787
639 57.40599722
640 56.06884583
641 54.43548822
642 53.12348463
643 51.82360239
644 50.76677494
645 49.22254371
646 48.09310895
647 46.6088835
648 45.30728493
649 44.39139357
650 43.36221355
651 42.22710678
652 42.17898958
653 41.58606418
654 40.91513613
655 40.87686318
656 40.31015371
657 39.98713289
658 39.54164842
659 38.80330143
660 38.37669421
661 37.97154604
662 37.86567731
663 37.32188323
664 37.3728906
665 36.26995438
666 35.74256921
667 35.24526501
668 35.21865757
669 34.5754813
670 34.45211884
671 34.02417325
672 32.99452305
673 32.62825453
674 32.11964052
675 31.56541172
676 31.2485388
677 30.16931904
678 29.3023607
679 28.92595077
680 27.98040192
681 27.6123479
682 27.11014178
683 26.8001449
684 25.46005485
685 25.38326826
686 24.66653209
687 23.90506971
688 23.37149042
689 22.82663988
690 21.93881689
691 20.69334373
692 20.20016786
693 19.58929409
694 19.0720613
695 18.83001101
696 17.70070286
697 17.41899531
698 16.72640266
699 16.01105242
700 15.72059007
701 14.92614275
702 14.17983855
703 13.63560255
704 13.15871318
705 12.64776897
706 12.36858854
707 11.90841395
708 11.99422943
709 11.23554176
710 10.9525646
711 10.83629658
712 10.56336535
713 10.07005733
714 9.994281881
715 9.827170847
716 9.615081902
717 9.244029251
718 9.046493184
719 8.965439731
720 8.7246591
721 8.484009448
722 8.489812343
723 8.179130348
724 7.842632747
725 7.775429975
726 7.554689442
727 7.493494101
728 7.330808585
729 6.952007093
730 6.822037117
731 6.698138206
732 6.466724208
733 6.397354769
734 6.340181417
735 6.141111497
736 6.019927934
737 5.833336948
738 5.577339641
739 5.50667894
740 5.342951839
741 5.177610958
742 5.266831816
743 5.177932695
744 4.982284001
745 4.851200717
746 4.741680009
747 4.532590039
748 4.68188454
749 4.497906069
750 4.481403632
751 0
752 0
753 0
754 0
755 0
756 0
757 0
758 0
759 0
760 0
761 0
762 0
763 0
764 0
765 0
766 0
767 0
768 0
769 0
770 0
771 0
772 0
773 0
774 0
775 0
776 0
777 0
778 0
779 0
780 0
781 0
782 0
783 0
784 0
785 0
786 0
787 0
788 0
789 0
790 0
791 0
792 0
793 0
794 0
795 0
796 0
797 0
798 0
799 0
800 0
801 0
802 0
803 0
804 0
805 0
806 0
807 0
808 0
809 0
810 0
811 0
812 0
813 0
814 0
815 0
816 0
817 0
818 0
819 0
820 0
821 0
822 0
823 0
824 0
825 0
826 0
827 0
828 0
829 0
830 0
831 0
832 0
833 0
834 0
835 0
836 0
837 0
838 0
839 0
840 0
841 0
842 0
843 0
844 0
845 0
846 0
847 0
848 0
849 0
850 0
851 0
852 0
853 0
854 0
855 0
856 0
857 0
858 0
859 0
860 0
861 0
862 0
863 0
864 0
865 0
866 0
867 0
868 0
869 0
870 0
871 0
872 0
873 0
874 0
875 0
876 0
877 0
878 0
879 0
880 0
881 0
882 0
883 0
884 0
885 0
886 0
887 0
888 0
889 0
890 0
891 0
892 0
893 0
894 0
895 0
896 0
897 0
898 0
899 0
900 0
901 0
902 0
903 0
904 0
905 0
906 0
907 0
908 0
909 0
910 0
911 0
912 0
913 0
914 0
915 0
916 0
917 0
918 0
919 0
920 0
921 0
922 0
923 0
924 0
925 0
926 0
927 0
928 0
929 0
930 0
931 0
932 0
933 0
934 0
935 0
936 0
937 0
938 0
939 0
940 0
941 0
942 0
943 0
944 0
945 0
946 0
947 0
948 0
949 0
950 0
951 0
952 0
953 0
954 0
955 0
956 0
957 0
958 0
959 0
960 0
961 0
962 0
963 0
964 0
965 0
966 0
967 0
968 0
969 0
970 0
971 0
972 0
973 0
974 0
975 0
976 0
977 0
978 0
979 0
980 0
981 0
982 0
983 0
984 0
985 0
986 0
987 0
988 0
989 0
990 0
991 0
992 0
993 0
994 0
995 0
996 0
997 0
998 0
999 0
