wl,EX,EM
300,39.6769,0
301,38.45545,0
302,37.22141,0
303,36.92561,0
304,35.3896,0
305,35.1948,0
306,34.8128,0
307,34.66686,0
308,34.92371,0
309,35.12189,0
310,35.4566,0
311,36.36887,0
312,37.23628,0
313,38.5789,0
314,39.7894,0
315,40.464,0
316,41.48043,0
317,42.46042,0
318,43.44619,0
319,44.61993,0
320,45.78345,0
321,46.98555,0
322,48.59724,0
323,50.81538,0
324,52.35275,0
325,54.19646,0
326,56.7771,0
327,58.17888,0
328,60.61769,0
329,61.9741,0
330,64.20868,0
331,66.27422,0
332,68.65628,0
333,70.89711,0
334,73.16686,0
335,75.3623,0
336,77.50044,0
337,79.68511,0
338,81.69334,0
339,83.72993,0
340,86.06662,0
341,87.88255,0
342,89.65761,0
343,91.51267,0
344,93.35072,0
345,94.70089,0
346,96.01189,0
347,97.00977,0
348,98.09332,0
349,98.71223,0
350,99.50587,0
351,99.73338,0
352,100,0
353,99.77251,0
354,99.46675,0
355,99.02426,0
356,98.29754,0
357,97.25938,0.4077889
358,96.00623,0.4197077
359,94.85462,0.4248684
360,93.22591,0.4389125
361,91.71122,0.4497993
362,90.29298,0.4668288
363,88.46119,0.4875132
364,86.40134,0.5132118
365,84.35963,0.5307507
366,82.36785,0.5550021
367,80.11568,0.5793764
368,77.50611,0.6105278
369,75.07241,0.6408948
370,72.59389,0.6740292
371,69.92192,0.704393
372,66.97765,0.7493368
373,64.28298,0.7941999
374,61.05508,0.8519521
375,57.85552,0.9233459
376,54.76886,1.014933
377,51.62037,1.128308
378,48.376,1.280283
379,45.16453,1.457847
380,41.95419,1.68367
381,39.27032,1.962314
382,36.24095,2.311262
383,33.41071,2.724117
384,30.75518,3.186302
385,28.14619,3.712878
386,25.72383,4.285246
387,23.386,4.895639
388,21.36643,5.519201
389,19.28445,6.173257
390,17.49747,6.837628
391,15.81259,7.518101
392,14.41761,8.202955
393,12.92562,8.951424
394,11.59758,9.762893
395,10.45788,10.63663
396,9.425396,11.63234
397,8.318606,12.77458
398,7.451204,14.0003
399,6.770443,15.33365
400,5.862207,16.72409
401,5.334625,18.25734
402,4.755978,19.83856
403,4.222719,21.52398
404,3.814265,23.23519
405,3.462542,25.0479
406,2.975234,26.84147
407,2.839083,28.69296
408,2.571886,30.60277
409,2.310929,32.51728
410,2.226401,34.58037
411,1.971118,36.63194
412,1.903042,38.68056
413,1.846313,40.83333
414,1.624499,42.98611
415,1.415167,45.17361
416,1.403253,47.32639
417,1.255757,49.54861
418,1.125846,51.77083
419,1.176336,53.95833
420,1.103154,56.04167
421,1.035078,58.05556
422,0.8926872,60.20833
423,1.114501,62.32639
424,0.830851,64.47916
425,0.7281708,66.49306
426,0.6998068,68.54166
427,0.7060465,70.59028
428,0.59202,72.5
429,0.6317299,74.375
430,0.6317299,76.25
431,0.371341,78.09028
432,0.3764468,79.86111
433,0.3877932,81.49306
434,0.2578815,83.125
435,0.3991386,84.61806
436,0.3259579,86.18056
437,0.2295175,87.67361
438,0.2629872,89.09722
439,0.1671143,90.27778
440,0.0644,91.52778
441,0.1217306,92.56944
442,-0.0320063,93.50694
443,0.0593,94.44444
444,0.1671143,95.27778
445,0.1103842,96.07639
